"","base_univer","univer","mean_1","mean_2","ratio"
"1","University College London","Caltech",47.6346153846154,60.8423076923077,1.27727089220832
"2","University College London","University College London",68.55,68.55,1
"3","University College London","University of Chicago",18.6307692307692,58.3461538461538,3.1317093311313
"4","University College London","University of Princeton",68.55,27.7769230769231,0.405206755316165
"5","University College London","National University of Singapore",68.55,17.6192307692308,0.257027436458509
"6","University College London","Nanyang Technological University",68.55,11.9807692307692,0.174774168209617
"7","University College London","Yale University",30.5115384615385,61.55,2.01726963317786
"8","University College London","Cornell University",33.6153846153846,68.95,2.05114416475973
"9","University College London","Johns Hopkins University",68.55,42.5269230769231,0.620378163047747
"10","University College London","University of Pennsylvania",41.05,72.1346153846154,1.75723789000281
"11","University College London","Columbia University",14.3923076923077,75.8846153846154,5.27258150721539
"12","University College London","University of Edinburgh",68.55,67.3346153846154,0.982270100432026
"13","University College London","Australian National University",65.5115384615385,12.5,0.190806082310808
"14","University College London","University of Michigan",11.95,59.3769230769231,4.9687801738011
"15","University College London","Duke University",6.73461538461538,17.8230769230769,2.64648772130211
"16","University College London","Northwestern University",16.1692307692308,37.3615384615385,2.31065651760228
"17","University College London","University of Hong Kong",68.5807692307692,33.9884615384615,0.495597554820257
"18","University College London","University of California, Berkeley",68.55,2.74615384615385,0.0400605958592829
"19","University College London","McGill University",59.7269230769231,59.8538461538462,1.00212505634619
